============================================================================================
 Z=0 branch classification via ab initio (a, b) prediction
============================================================================================

Loading candidates from baryon_candidates_cache.pkl ...
  loaded 145 states

  symbol          P  qx    N        M_t   KB   Q*  κ*     f_imp   f_pred     |Δf|   class
  ------------------------------------------------------------------------------------------------
  N(1470)⁰        1  +0   13  1470.4888   10    1   1   +0.1029  +0.1804   0.0774     z≠0
  N(1470)±        1  +1   12  1480.1770   38    1   0   +0.4144  +0.5342   0.1198     z≠0
  N(1520)⁰        1  +0   14  1509.6087   29    1   1   +0.1147  +0.1807   0.0660     z≠0
  N(1520)±        1  +1   13  1515.7293    8    1   0   +0.4306  +0.5509   0.1203     z≠0
  N(1535)⁰        1  +0   18  1533.9788   -2    1   1   +0.1608  +0.1811   0.0203     z=0
  N(1535)±        1  +1   17  1535.3254    8    1   0   +0.4918  +0.6153   0.1236     z≠0
  N(1670)⁰        1  +0   23  1657.9536    8    1   1   +0.2162  +0.1801   0.0360     z=0
  N(1670)±        1  +1   22  1679.5754    0    1   0   +0.5687  +0.6929   0.1242     z≠0
  N(1688)⁰        1  +0   24  1694.3687  -23    1   1   +0.2283  +0.1799   0.0484     z=0
  N(1688)±        1  +1   23  1719.4898   11    1   0   +0.5838  +0.7082   0.1244     z≠0
  N(1700)⁰        1  +0   25  1734.6717   63    1   1   +0.2394  +0.1795   0.0599     z≠0
  N(1700)±        1  +1   27  1751.2494  -12    1   1   +0.2799  +0.3785   0.0985     z≠0
  N(1770)⁰        1  +0   26  1771.8218   14    1   1   +0.2505  +0.1792   0.0713     z≠0
  N(1770)±        1  +1   24  1769.0721   65    1   1   +0.2448  +0.3678   0.1230     z≠0
  N(1780)⁰        1  +0   31  1784.3644   -9    1   0   +0.6723  +0.7933   0.1210     z≠0
  N(1780)±        1  +1   29  1782.2884    0    1   1   +0.3029  +0.3855   0.0825     z≠0
  N(1810)⁰        1  +0   32  1808.3795   38    1   1   +0.2576  +0.1768   0.0808     z≠0
  N(1810)±        1  +1   30  1808.5253   40    1   1   +0.2542  +0.3889   0.1347     z≠0
  N(1990)⁰        1  +0   37  1974.9129   60    1   0   +0.7567  +0.8784   0.1216     z≠0
  N(1990)±        1  +1   35  1989.7028   50    1   1   +0.3721  +0.4059   0.0339     z=0
  N(2000)⁰        1  +0   42  2011.0552   -3    1   0   +0.8268  +0.9489   0.1220     z≠0
  N(2000)±        1  +1   39  2001.9706  -37    1   1   +0.4181  +0.4193   0.0012     z=0
  N(2040)⁰        1  +0   44  2044.8079    7    1   0   +0.8548  +0.9770   0.1222     z≠0
  N(2040)±        1  +1   41  2034.6322   30    1   1   +0.3847  +0.4259   0.0412     z=0
  N(2100)⁰        1  +0   40  2107.8085   78    1   0   +0.7991  +0.9207   0.1216     z≠0
  N(2100)±        1  +1   44  2120.5890   25    1   1   +0.4736  +0.4358   0.0378     z=0
