Loaded 145 matched states

  symbol          (n,m,p,σ)                    σ    z    σ-z  conf    
  ----------------------------------------------------------------------
  Λ(1405)         (2, 11, 24, -15)           -15   +0    -15  PDG     
  Λ(1520)         (3, 7, 10, 9)               +9   +1     +8  PDG     
  Λ(1670)         (4, 4, -25, -7)             -7   +0     -7  PDG     
  Λ(1690)         (4, 5, 11, -15)            -15   +1    -16  PDG     
  Λ(1750)         (4, 10, -14, -13)          -13   +0    -13  approx  
  Λ(1815)         (5, -5, -26, 6)             +6   +2     +4  PDG     
  Λ(1830)         (5, -4, 2, 23)             +23   +2    +21  PDG     
  Λ(1860)         (5, 1, -23, 5)              +5   +1     +4  approx  
  Λ(1870)         (5, 3, -32, -13)           -13   +0    -13  approx  
  Λ(2020)         (5, 12, -4, 8)              +8   +3     +5  approx  
  Λ(2100)         (6, -1, -32, -12)          -12   +3    -15  PDG     
  Λ(2110)         (6, 0, 3, 1)                +1   +2     -1  PDG     
  Λ(2350)         (6, 16, -7, -8)             -8   +4    -12  PDG     
  N(1470)⁰        (3, 4, -7, 12)             +12   +0    +12  PDG     
  N(1470)±        (3, 4, 19, 16)             +16   +0    +16  PDG     
  N(1520)⁰        (3, 7, -4, -3)              -3   +1     -4  PDG     
  N(1520)±        (3, 8, -28, -15)           -15   +1    -16  PDG     
  N(1535)⁰        (4, -22, -27, -3)           -3   +0     -3  PDG     
  N(1535)±        (4, -18, -15, 2)            +2   +0     +2  PDG     
  N(1670)⁰        (4, 2, 6, 31)              +31   +0    +31  PDG     
  N(1670)±        (4, 5, -19, 4)              +4   +0     +4  PDG     
  N(1688)⁰        (4, 6, -31, 12)            +12   +2    +10  PDG     
  N(1688)±        (4, 8, -24, -13)           -13   +2    -15  PDG     
  N(1700)⁰        (4, 8, 12, -15)            -15   +1    -16  PDG     
  N(1700)±        (5, -27, -32, 0)            +0   +1     -1  PDG     
  N(1770)⁰        (4, 11, -12, 1)             +1   +0     +1  PDG     
  N(1770)±        (4, 10, 22, -7)             -7   +0     -7  PDG     
  N(1780)⁰        (5, -11, -28, 2)            +2   +1     +1  PDG     
  N(1780)±        (5, -10, -28, -7)           -7   +1     -8  PDG     
  N(1810)⁰        (4, 12, 25, 27)            +27   +0    +27  approx  
  N(1810)±        (4, 12, 29, 27)            +27   +0    +27  approx  
  N(1990)⁰        (5, 9, 10, -15)            -15   +3    -18  PDG     
